ticker,earnrelease_date,earnrelease_time,timestart,avg(t.twitterpermin)
ADBE,2012-06-19,16:04:00,16:02:03,10.775000
ADBE,2012-09-19,16:03:00,15:56:19,19.125000
ADBE,2012-12-13,16:03:00,16:02:24,14.325000
ADBE,2013-03-19,16:02:00,16:00:43,16.325000
ADBE,2013-09-17,16:04:00,16:02:25,35.400000
AKAM,2012-07-25,16:01:00,15:52:14,1.200000
AKAM,2012-10-24,16:01:00,15:56:34,0.675000
AKAM,2013-02-06,16:01:00,15:50:05,2.675000
AKAM,2013-04-24,16:01:00,16:00:57,0.775000
AKAM,2013-07-24,16:01:00,15:56:14,0.725000
ALTR,2012-07-24,16:15:00,16:06:24,2.025000
ALTR,2013-01-23,16:15:00,16:09:38,5.025000
ALTR,2013-04-25,16:15:00,16:07:30,4.775000
ALTR,2013-07-23,16:15:00,16:07:09,3.025000
ALXN,2012-07-25,06:29:00,06:20:36,0.050000
ALXN,2013-04-25,06:29:00,06:20:09,NULL
ALXN,2013-07-25,06:29:00,06:22:11,NULL
AMAT,2012-05-17,16:04:00,16:03:03,0.400000
AMAT,2012-08-15,16:04:00,15:58:48,5.200000
AMAT,2013-02-13,16:00:00,15:53:16,1.650000
AMAT,2013-05-16,15:58:00,15:48:36,0.450000
AMAT,2013-08-15,16:03:00,16:02:19,2.925000
AMGN,2012-07-26,16:03:00,15:55:33,2.375000
AMGN,2013-01-23,16:01:00,15:59:11,1.050000
AMGN,2013-04-23,16:00:00,15:52:02,1.875000
AMGN,2013-07-30,16:02:00,15:54:04,1.225000
AMZN,2012-07-26,16:00:00,15:55:32,149.000000
AMZN,2013-01-29,16:00:00,15:51:00,214.925000
AMZN,2013-04-25,16:00:00,15:57:00,175.075000
AMZN,2013-07-25,16:01:00,15:52:15,140.375000
APOL,2013-01-08,16:01:00,15:56:30,2.400000
BBBY,2012-06-20,16:15:00,16:04:36,0.000000
BBBY,2012-09-19,16:15:00,16:06:53,0.000000
BBBY,2012-12-19,16:15:00,16:05:58,0.000000
BBBY,2013-04-10,16:15:00,16:12:10,0.000000
BIDU,2012-07-23,16:00:00,15:58:16,7.450000
BIDU,2012-10-29,16:30:00,16:25:33,4.800000
BIDU,2013-04-25,16:30:00,16:28:32,5.375000
BIDU,2013-07-24,16:01:00,15:56:17,1.825000
BRCM,2012-07-24,16:04:00,15:55:53,0.700000
BRCM,2013-01-29,16:04:00,16:01:33,2.150000
BRCM,2013-04-23,16:04:00,16:02:34,3.100000
BRCM,2013-07-23,16:04:00,15:56:40,1.825000
CELG,2012-07-26,07:30:00,07:23:31,0.366667
CELG,2013-01-24,07:30:00,07:20:53,0.375000
CELG,2013-04-25,07:28:00,07:22:59,0.325000
CELG,2013-07-25,07:33:00,07:25:34,0.850000
CERN,2012-07-26,16:01:00,15:55:36,0.375000
CERN,2013-02-05,16:01:00,15:59:19,1.050000
CERN,2013-04-25,16:01:00,15:57:05,1.000000
CERN,2013-07-25,16:01:00,15:52:19,1.125000
CHRW,2012-07-24,16:15:00,16:06:28,0.025000
CHRW,2013-02-05,16:21:00,16:20:17,0.000000
CHRW,2013-05-07,16:15:00,16:12:42,0.000000
COST,2012-12-19,09:41:00,09:33:19,9.750000
COST,2013-03-13,14:39:00,14:32:56,5.425000
CSCO,2012-08-15,16:04:00,15:58:53,33.500000
CSCO,2013-02-13,16:04:00,16:03:55,24.325000
CSCO,2013-05-15,16:04:00,16:02:10,13.375000
CSCO,2013-08-14,16:04:00,15:54:33,15.075000
CTRP,2012-07-24,18:01:00,17:53:12,0.275000
CTSH,2013-02-07,06:00:00,05:57:43,1.800000
CTXS,2012-07-25,16:04:00,16:02:56,1.750000
CTXS,2012-10-24,16:04:00,15:56:41,1.275000
CTXS,2013-01-30,16:04:00,15:59:01,2.525000
CTXS,2013-04-24,16:04:00,16:01:02,3.650000
CTXS,2013-07-24,16:04:00,15:56:21,1.025000
DELL,2012-05-22,16:01:00,15:57:28,51.175000
DELL,2012-08-21,16:01:00,15:58:45,60.750000
DELL,2013-02-19,16:01:00,15:57:02,78.225000
DELL,2013-05-16,16:01:00,15:59:11,62.275000
DELL,2013-08-15,16:03:00,16:02:27,62.150000
DLTR,2012-05-17,08:00:00,07:55:29,0.525000
DLTR,2012-08-16,07:36:00,07:32:56,1.050000
DLTR,2013-02-27,07:34:00,07:32:41,1.200000
DLTR,2013-08-22,07:33:00,07:27:54,0.675000
ESRX,2012-08-07,16:01:00,15:59:27,0.400000
ESRX,2013-02-18,16:01:00,16:00:14,0.950000
ESRX,2013-04-29,16:01:00,15:56:41,0.775000
ESRX,2013-07-29,16:01:00,15:51:48,0.675000
EXPD,2012-08-07,09:00:00,08:55:55,0.000000
EXPD,2013-02-26,09:00:00,08:52:44,0.000000
EXPD,2013-05-01,16:15:00,16:08:12,0.000000
EXPE,2012-07-26,16:02:00,15:55:41,1.675000
EXPE,2013-02-05,16:02:00,15:59:23,1.325000
EXPE,2013-04-25,16:09:00,16:07:37,3.025000
EXPE,2013-07-25,16:01:00,15:52:24,2.925000
FAST,2013-01-17,06:49:00,06:39:42,0.800000
FAST,2013-07-10,06:49:00,06:42:16,NULL
FFIV,2012-10-24,16:04:00,15:56:45,0.425000
FFIV,2013-01-23,16:04:00,15:59:19,2.125000
FFIV,2013-04-24,16:04:00,16:01:06,0.150000
FFIV,2013-07-24,16:04:00,15:56:26,0.225000
FISV,2013-02-05,16:05:00,15:59:24,0.075000
FISV,2013-04-30,16:01:00,15:56:36,0.250000
FISV,2013-07-30,16:01:00,15:54:15,0.100000
FLEX,2012-07-25,16:01:00,15:52:29,0.025000
FLEX,2013-01-24,16:01:00,15:58:20,0.050000
FLEX,2013-04-30,16:01:00,15:56:36,3.000000
FLEX,2013-07-25,16:01:00,15:52:25,0.075000
FLIR,2012-07-26,07:30:00,07:23:41,0.066667
FLIR,2013-02-07,07:30:00,07:21:46,0.100000
FLIR,2013-07-25,07:30:00,07:25:42,0.200000
FSLR,2013-02-26,16:02:00,15:52:53,1.650000
FSLR,2013-05-06,16:04:00,16:00:00,2.450000
GMCR,2013-02-06,16:00:00,15:50:16,1.200000
GMCR,2013-05-08,16:00:00,15:58:40,2.325000
GRMN,2013-02-20,07:00:00,06:57:48,3.800000
ILMN,2012-07-24,16:04:00,15:56:03,0.425000
ILMN,2013-04-22,16:04:00,16:02:15,1.175000
ILMN,2013-07-23,16:04:00,15:56:50,0.725000
INTU,2012-05-17,16:00:00,15:57:48,0.000000
INTU,2012-08-21,16:00:00,15:58:52,3.725000
INTU,2013-02-21,16:00:00,15:53:12,0.650000
INTU,2013-08-20,16:03:00,15:56:29,2.175000
ISRG,2013-07-18,16:04:00,15:56:39,0.750000
KLAC,2012-07-26,16:15:00,16:06:26,0.000000
KLAC,2013-01-24,16:15:00,16:08:54,0.375000
KLAC,2013-04-25,16:15:00,16:07:44,0.425000
KLAC,2013-07-25,16:15:00,16:13:28,0.050000
LLTC,2012-07-24,16:59:00,16:48:55,0.225000
LLTC,2013-04-16,16:59:00,16:56:16,0.125000
LRCX,2012-07-25,16:30:00,16:24:09,0.025000
LRCX,2012-10-17,16:15:00,16:04:30,0.250000
LRCX,2013-01-23,16:04:00,15:59:23,0.200000
LRCX,2013-04-24,16:04:00,16:01:10,0.300000
MCHP,2013-05-02,16:15:00,16:14:41,0.050000
MRVL,2012-05-17,16:04:00,16:03:15,0.050000
MRVL,2012-08-16,16:04:00,15:56:34,1.975000
MRVL,2013-02-21,16:03:00,15:53:14,1.875000
MRVL,2013-08-22,16:03:00,15:55:11,0.175000
MXIM,2012-07-26,16:00:00,15:55:48,0.175000
MXIM,2013-01-24,16:00:00,15:58:24,0.100000
MXIM,2013-04-25,16:00:00,15:57:16,0.100000
MXIM,2013-07-25,16:00:00,15:52:31,0.125000
NFLX,2012-07-24,16:04:00,15:56:09,95.100000
NFLX,2013-01-23,16:04:00,15:59:27,102.025000
NFLX,2013-04-22,16:06:00,16:02:20,182.025000
NFLX,2013-07-22,16:00:00,15:59:54,97.475000
NFLX,2013-07-22,16:00:00,15:59:55,102.325000
NIHD,2013-05-02,06:29:00,06:27:45,NULL
NTAP,2012-05-23,16:01:00,15:54:18,4.000000
NTAP,2012-08-15,16:01:00,15:59:09,1.525000
NTAP,2013-02-13,16:01:00,15:53:34,5.650000
NTAP,2013-08-14,16:01:00,15:54:47,3.100000
NVDA,2012-05-11,07:30:00,07:27:00,9.350000
NVDA,2012-08-09,16:20:00,16:13:58,3.450000
NVDA,2013-02-13,16:20:00,16:14:34,11.125000
NVDA,2013-05-09,16:20:00,16:19:50,6.075000
ORCL,2012-06-18,16:59:00,16:50:47,19.050000
ORCL,2012-12-18,16:01:00,15:59:47,22.900000
ORCL,2013-03-20,16:01:00,15:56:49,26.575000
ORCL,2013-09-18,16:01:00,15:53:13,21.875000
ORLY,2012-10-24,18:29:00,18:24:54,0.000000
PAYX,2012-09-24,16:01:00,15:51:52,1.775000
PAYX,2012-12-19,16:01:00,15:55:42,0.075000
PCAR,2012-07-24,07:59:00,07:57:04,0.650000
PCAR,2013-01-31,07:59:00,07:55:57,0.225000
PCAR,2013-07-23,07:59:00,07:51:58,0.550000
PCLN,2012-08-07,16:02:00,15:59:37,5.100000
PCLN,2013-02-26,16:16:00,16:13:59,2.925000
PCLN,2013-05-09,16:09:00,15:58:52,2.600000
QCOM,2013-01-30,16:00:00,15:59:15,10.175000
QCOM,2013-04-24,16:00:00,15:50:50,10.575000
QCOM,2013-07-24,16:00:00,15:56:38,4.800000
QGEN,2012-07-25,10:39:00,10:35:02,0.000000
QGEN,2013-01-29,16:00:00,15:51:21,0.025000
QGEN,2013-04-29,07:59:00,07:54:19,0.000000
QGEN,2013-07-30,17:04:00,16:57:10,0.025000
ROST,2012-05-17,08:26:00,08:22:52,0.275000
ROST,2012-08-16,08:26:00,08:15:54,0.125000
ROST,2013-03-21,08:26:00,08:18:54,0.566667
ROST,2013-08-22,16:00:00,15:55:17,0.225000
SBUX,2012-07-26,16:03:00,15:55:57,75.375000
SBUX,2013-01-24,16:04:00,15:58:31,89.300000
SBUX,2013-04-25,16:04:00,15:57:24,89.375000
SBUX,2013-07-25,16:04:00,16:03:09,96.200000
SIAL,2012-07-24,07:59:00,07:57:07,0.000000
SIAL,2013-02-07,07:00:00,06:50:29,0.100000
SIAL,2013-07-23,07:00:00,06:59:12,0.175000
SNDK,2013-01-23,16:04:00,15:59:31,1.225000
SNDK,2013-04-17,16:04:00,16:02:19,7.200000
SNDK,2013-07-17,16:04:00,16:01:38,0.900000
SRCL,2012-07-25,16:02:00,15:52:41,0.150000
SRCL,2012-10-24,16:02:00,15:56:59,0.200000
SRCL,2013-02-06,16:02:00,16:00:53,0.175000
SRCL,2013-04-24,16:02:00,16:01:19,0.150000
SRCL,2013-07-24,16:02:00,15:56:42,0.200000
SYMC,2012-07-25,07:00:00,06:52:31,1.225000
SYMC,2012-10-24,16:05:00,15:56:59,3.050000
SYMC,2013-01-23,07:59:00,07:55:58,1.850000
SYMC,2013-05-07,16:04:00,16:02:32,3.225000
SYMC,2013-07-30,16:01:00,15:54:31,1.550000
URBN,2012-05-21,16:00:00,15:50:18,4.450000
URBN,2012-08-20,16:00:00,15:55:24,7.500000
URBN,2012-11-19,16:00:00,15:57:02,4.500000
URBN,2013-03-11,16:46:00,16:42:15,3.075000
URBN,2013-05-20,16:00:00,15:58:51,3.675000
URBN,2013-08-19,16:01:00,15:58:52,5.300000
VRSN,2012-07-26,16:04:00,15:55:59,0.350000
VRSN,2013-01-24,16:04:00,15:58:33,0.200000
VRSN,2013-04-25,16:04:00,15:57:26,0.500000
VRSN,2013-07-25,16:04:00,16:03:11,0.825000
WYNN,2012-10-24,16:02:00,15:57:04,1.025000
WYNN,2013-01-31,16:01:00,15:59:05,1.425000
WYNN,2013-04-25,16:02:00,15:57:28,0.325000
WYNN,2013-07-29,07:30:00,07:26:19,0.550000
XLNX,2012-10-17,16:20:00,16:15:17,0.500000
XLNX,2013-01-17,16:20:00,16:18:45,1.800000
XLNX,2013-04-24,16:20:00,16:11:47,0.300000
XLNX,2013-07-17,16:20:00,16:12:17,0.475000
YHOO,2013-04-16,16:04:00,15:53:50,140.075000
YHOO,2013-07-16,16:04:00,15:55:57,106.975000
